County,Population Total,15-19 Years Old,20-34 Years Old,35-59 Years Old,60-74 Years Old,75 Years Plus,Female Population,White Population,Black or African American Population,American Indian and Native Alaskan,Asian and Pacific Islander Population,Other Race,Hispanic or Latino Population,High School Graduate Only (Percent),College Degree (Percent),In civilian labor force,Median household income,Persons in poverty ,Total employment,Total Unemployment,Notes:
ADAMS,78274,5918,18738,23074,9519,4571,40059,76355,926,85,368,540,1216,13.2,17.9,42528.3,30304,75227,40475.3,2003.8,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4200100000.pdf
ALLEGHENY,1336449,81420,312871,395397,214047,94407,709717,1169452,149550,1452,13469,2526,8731,22.6,13.2,656470.9,28136,1305173,623688.6,32912.5,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4200300000.pdf
ARMSTRONG,73478,5266,15132,21556,11526,5414,38153,72727,566,59,81,45,164,8.1,22.6,31892.4,22554,72518,29110.3,2805,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4200500000.pdf
BEAVER,186093,12122,38872,55779,31039,11907,97432,174759,10475,203,377,279,1124,11.9,8.1,85535.5,24276,183028,80376.5,5227.4,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4200700000.pdf
BEDFORD,47919,3540,10092,14492,6973,2954,24506,47607,150,40,78,44,118,7.8,11.9,24121,21622,47514,22173.5,2014.7,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4200900000.pdf
BERKS,336523,22727,77603,100510,46974,22825,173877,314561,10003,333,2746,8880,17174,15.1,7.8,180891.5,32048,326515,171783.3,9178.4,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4201100000.pdf
BLAIR,130542,9662,26724,38512,19846,9362,69016,128840,1073,118,380,131,431,10.5,15.1,62736.9,23271,127609,58736,4191.4,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4201100000.pdf
BRADFORD,60967,4350,12724,18334,7964,3826,31338,60409,149,117,214,78,218,12.9,10.5,28177.7,23970,60026,26480.6,1693.9,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4201500000.pdf
BUCKS,541174,36013,130399,174868,60367,22719,274729,514240,15313,566,8446,2609,8895,24.8,12.9,313473.8,43347,532830,297853.9,15918.8,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4201700000.pdf
BUTLER,152013,11644,35481,45863,8173,8638,77875,150407,810,109,545,142,563,15.6,24.8,82581,29358,146483,78165.5,4593.8,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4201900000.pdf
CAMBRIA,163029,12158,32445,47191,27976,12271,84917,158584,3734,109,384,218,985,10.8,15.6,68617.5,21462,156947,62743.3,5879.4,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4202100000.pdf
CAMERON,5913,392,1108,1728,989,439,3023,5880,7,15,6,5,3,9.8,10.8,2632,20839,5833,2436.4,201.8,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4202300000.pdf
CARBON,56846,3597,12022,16541,9722,4217,29405,56403,119,45,176,103,509,8.4,9.8,26940.4,25501,56037,24780.9,2176.4,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4202500000.pdf
CENTRE,123786,11999,47325,30180,10710,4561,59714,116552,2801,179,3841,413,1350,32.3,8.4,63948.3,26060,108636,61740.2,2282.8,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4202700000.pdf
CHESTER,376396,26055,90923,123153,40970,16096,191975,344931,23995,510,4070,2890,8565,34.7,32.3,219686.8,45642,364666,211719.7,8219.3,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4202900000.pdf
