County,Population Total,15-19 Years Old,20-34 Years Old,35-59 Years Old,60-74 Years Old,75 Years Plus,Female Population,White Population,Black or African American Population,American Indian and Native Alaskan,Asian or Pacific Islander Population,Some Other Race,Hispanic or Latino Population,High School Graduate Only (Percent),College Degree (Percent),In civilian labor force,Median household income ,Persons in poverty ,Total employment,Notes:,Notes:
ADAMS,101407,7507,17028,36403,14847,7420,51542,96214,2117,617,1084,2816,6115,42.1,21.2,54572,64167,149823,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Adams%20County.pdf ,"Education includes 2010-2014, Median family income in the past 12 months (in 2009 inflation-adjusted dollars) in 2005-2009, S - 2005-2009
Source: U.S. Census Bureau-American Community Survey
Unit: Absolute Number (Censtats Database)"
ALLEGHENY,1223348,79935,246511,422626,168522,109375,637698,1016627,176356,7150,40305,7711,19070,30.5,36.9,635184,63714,7803,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Allegheny%20County.pdf,
ARMSTRONG,68941,4314,10519,25412,10936,6352,34298,68082,806,210,256,132,366,50,14.6,32676,50525,17909,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Armstrong%20County.pdf,
BEAVER,170539,11007,27266,61547,26060,16507,88260,158272,12703,870,1192,644,1998,39.5,22.6,88530,56724,6963,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Beaver%20County.pdf,
BEDFORD,49762,3066,7369,17926,8273,4375,25057,49166,395,221,202,193,450,49.9,13.7,24426,48533,45733,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Bedford%20County.pdf,
BERKS,411442,31785,73512,143280,52807,29982,209578,350598,25062,2962,7468,36308,67355,38.7,22.7,202918,63827,16097,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Berks%20County.pdf,
BLAIR,127089,9237,21566,43585,19152,11501,65381,122238,2129,143,735,1547,1230,48.9,18.6,64246,52231,8974,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Blair%20County.pdf,
BRADFORD,62622,4062,9429,22175,10293,5058,31794,61035,311,154,346,646,702,48.3,17,32744,48160,29686,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Bradford%20County.pdf,
BUCKS,625249,41724,99281,239116,85029,43960,318586,557647,22376,1232,24182,10382,26782,31.3,36.5,339043,89537,14870,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Bucks%20County.pdf,
BUTLER,183862,13543,29692,68274,25074,13811,93371,177605,2021,194,1888,1692,1941,35.6,31.7,98503,67756,19496,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Butler%20County.pdf,
