County,County Party Affiliation ,Votes Cast for President Total,Votes Cast for President Democratic ,Votes Cast for President Republican,Votes Cast for President Other Candidate,Percent Voted Democrat,Percent Voted Republican,http://uselectionatlas.org/RESULTS/index.html
ADAMS,Republican,29508,10774,15338,3396,36.5121323,51.97912431,
ALLEGHENY,Democratic,538615,284480,204067,50068,52.81694717,37.88735925,
ARMSTRONG,Republican,25779,11130,11052,3597,43.17467706,42.8721052,
BEAVER,Democratic,74279,39578,26048,8653,53.28289288,35.06778497,
BEDFORD,Republican,18127,5954,10064,2109,32.84603078,55.51939096,
BERKS,Republican,121718,49887,56289,15542,40.98572109,46.24541974,
BLAIR,Republican,40691,15036,21282,4373,36.95166007,52.30149173,
BRADFORD,Republican,21008,7736,10393,2879,36.82406702,49.47162986,
BUCKS,Democratic,227363,103313,94899,29151,45.43967136,41.73898128,
BUTLER,Republican,60591,21990,32038,6563,36.29251869,52.87583965,
CAMBRIA,Democratic,59275,30391,20341,8543,51.27119359,34.31632223,
CAMERON,Republican,2231,822,1113,296,36.84446437,49.88794263,
CARBON,Democratic,19829,9457,7193,3179,47.69277321,36.27515255,
CENTRE,Democratic,46826,21145,20935,4746,45.15653697,44.70806817,
CHESTER,Republican,158366,64783,77029,16554,40.90713916,48.63985957,
CLARION,Republican,15071,5954,6916,2201,39.50633667,45.88945657,
CLEARFIELD,Republican,28955,11991,12987,3977,41.41253669,44.85235711,
CLINTON,Democratic,11483,5658,4293,1532,49.27283811,37.3857006,
COLUMBIA,Democratic,20372,8379,8234,3759,41.12998233,40.41822109,
CRAWFORD,Republican,31446,12943,14659,3844,41.15944794,46.6164218,
CUMBERLAND,Republican,78985,28749,43943,6293,36.39805026,55.63461417,
DAUPHIN,Republican,92971,40936,44417,7618,44.03093438,47.77511267,
DELAWARE,Democratic,234748,115946,92628,26174,49.39168811,39.45848314,
ELK,Democratic,13013,5749,4889,2375,44.17889803,37.57012219,
ERIE,Democratic,108791,57508,39884,11399,52.86099034,36.66112086,
FAYETTE,Democratic,46532,26359,14019,6154,56.6470386,30.12765409,
FOREST,Democratic,2201,964,902,335,43.79827351,40.9813721,
FRANKLIN,Republican,44730,14980,25392,4358,33.48982786,56.76727029,
FULTON,Republican,4868,1620,2665,583,33.27855382,54.74527527,
GREENE,Democratic,13736,7620,4002,2114,55.47466511,29.13511939,
HUNTINGDON,Republican,14495,5285,7324,1886,36.46084857,50.5277682,
INDIANA,Democratic,30583,13868,12874,3841,45.34545336,42.09528169,
JEFFERSON,Republican,16457,5846,8156,2455,35.5228778,49.55945798,
JUNIATA,Republican,7984,2896,4128,960,36.27254509,51.70340681,
LACKAWANNA,Democratic,82681,46377,26930,9374,56.09148414,32.57096552,
LANCASTER,Republican,155286,49120,92875,13291,31.63195652,59.80899759,
LAWRENCE,Democratic,36259,18993,13088,4178,52.3814777,36.09586585,
LEBANON,Republican,40735,14187,21885,4663,34.82754388,53.72529766,
LEHIGH,Democratic,106110,48568,45103,12439,45.77136933,42.50589011,
LUZERNE,Democratic,116817,60174,43577,13066,51.51133825,37.30364587,
LYCOMING,Republican,39241,13516,21535,4190,34.44356668,54.87882572,
McKEAN,Republican,14869,5509,6838,2522,37.05023875,45.9882978,
MERCER,Democratic,45779,23003,17213,5563,50.24793027,37.6002097,
MIFFLIN,Republican,13718,5327,6888,1503,38.83219128,50.21140108,
MONROE,Republican,39065,16547,17326,5192,42.35760911,44.35172149,
MONTGOMERY,Democratic,293961,143664,121047,29250,48.87178911,41.17791136,
MONTOUR,Republican,5811,2183,2785,843,37.56668388,47.92634658,
NORTHAMPTON,Democratic,91002,43959,35726,11317,48.30553175,39.25847784,
NORTHUMBERLAND,Republican,32400,13418,13551,5431,41.41358025,41.82407407,
PERRY,Republican,14515,4611,8156,1748,31.76713744,56.19014812,
PHILADELPHIA,Democratic,533277,412988,85345,34944,77.44342996,16.00387791,
PIKE,Republican,14244,5509,6697,2038,38.67593373,47.01628756,
POTTER,Republican,6817,2146,3714,957,31.48012322,54.48144345,
SCHUYLKILL,Democratic,56629,24860,22920,8849,43.89976867,40.4739621,
SNYDER,Republican,11642,3405,6742,1495,29.24755197,57.91101185,
SOMERSET,Republican,31591,12719,14735,4137,40.26146687,46.64303124,
SULLIVAN,Republican,2858,1071,1352,435,37.47375787,47.30580826,
SUSQUEHANNA,Republican,15636,5912,7354,2370,37.81018163,47.03248913,
TIOGA,Republican,14425,4961,7382,2082,34.39168111,51.17504333,
UNION,Republican,11724,3658,6570,1496,31.20095531,56.03889458,
VENANGO,Republican,19549,8205,8398,2946,41.97145634,42.95871912,
WARREN,Democratic,17067,7291,7056,2720,42.71986875,41.34294252,
WASHINGTON,Democratic,77745,40952,27777,9016,52.67477008,35.72834266,
WAYNE,Republican,16334,5928,8077,2329,36.29239623,49.44900208,
WESTMORELAND,Democratic,143329,63686,62058,17585,44.43343636,43.29758807,
WYOMING,Republican,10408,4049,4888,1471,38.9027671,46.96387394,
YORK,Republican,128156,49596,65188,13372,38.69970973,50.8661319,
