County,County Party Affiliation ,Votes Cast for President Total,Votes Cast for President Democratic ,Votes Cast for President Republican,Votes Cast for President Other Candidate,Percent Voted Democrat,Percent Voted Republican,electionreturns.gov
ADAMS,Republican,33433,11682,20848,903,34.94152484,62.35755092,
ALLEGHENY,Democratic,582478,329963,235361,17154,56.64814808,40.40684798,
ARMSTRONG,Republican,27423,11127,15508,788,40.57542938,56.55107027,
BEAVER,Democratic,73593,38925,32491,2177,52.89225877,44.14957944,
BEDFORD,Republican,19435,5474,13598,363,28.16568047,69.96655518,
BERKS,Republican,135163,59150,71273,4740,43.76197628,52.73114684,
BLAIR,Republican,45140,15774,28376,990,34.94461675,62.86220647,
BRADFORD,Republican,23330,7911,14660,759,33.90912988,62.83754822,
BUCKS,Democratic,263422,132914,121927,8581,50.45668167,46.28580756,
BUTLER,Republican,70824,25037,44009,1778,35.35101096,62.13854061,
CAMBRIA,Democratic,60286,30308,28001,1977,50.27369539,46.44693627,
CAMERON,Republican,2246,779,1383,84,34.68388246,61.57613535,
CARBON,Democratic,21277,10668,9717,892,50.13864737,45.66903229,
CENTRE,Republican,49538,21409,26172,1957,43.21732811,52.83216924,
CHESTER,Republican,187562,82047,100080,5435,43.74393534,53.35835617,
CLARION,Republican,15843,5605,9796,442,35.37840056,61.83172379,
CLEARFIELD,Republican,30609,11718,18019,872,38.28285798,58.86830671,
CLINTON,Republican,11994,5521,6064,409,46.03134901,50.55861264,
COLUMBIA,Republican,21894,8975,12095,824,40.99296611,55.24344569,
CRAWFORD,Republican,33321,13250,18858,1213,39.76471294,56.59494013,
CUMBERLAND,Republican,88062,31053,54802,2207,35.26265586,62.23115532,
DAUPHIN,Republican,100658,44390,53631,2637,44.09982316,53.28041487,
DELAWARE,Democratic,248077,134861,105836,7380,54.36255679,42.66256041,
ELK,Republican,13578,5754,7347,477,42.37737517,54.10958904,
ERIE,Democratic,112335,59399,49027,3909,52.87666355,43.64356612,
FAYETTE,Democratic,49532,28152,20013,1367,56.83598482,40.40418315,
FOREST,Republican,2283,843,1371,69,36.92509855,60.05256242,
FRANKLIN,Republican,48969,14922,33042,1005,30.47233964,67.47534154,
FULTON,Republican,5285,1425,3753,107,26.96310312,71.01229896,
GREENE,Democratic,13634,7230,5890,514,53.02919173,43.20082148,
HUNTINGDON,Republican,15957,5073,10408,476,31.79169017,65.22529297,
INDIANA,Republican,31401,13667,16799,935,43.52409159,53.49829623,
JEFFERSON,Republican,17574,5566,11473,535,31.67178787,65.28394219,
JUNIATA,Republican,8667,2656,5795,216,30.64497519,66.86281297,
LACKAWANNA,Democratic,96381,57471,35096,3814,59.62897252,36.413816,
LANCASTER,Republican,175317,54968,115900,4449,31.3534911,66.10882002,
LAWRENCE,Democratic,39640,20593,18060,987,51.95005045,45.56004036,
LEBANON,Republican,45880,16093,28534,1253,35.07628596,62.19267655,
LEHIGH,Republican,116280,56667,55492,4121,48.73323013,47.72273822,
LUZERNE,Democratic,119586,62199,52328,5059,52.0119412,43.75763049,
LYCOMING,Republican,43183,14663,27137,1383,33.95549174,62.84185906,
McKEAN,Republican,15804,5510,9661,633,34.86459124,61.13009365,
MERCER,Republican,48725,23817,23132,1776,48.88045151,47.47460236,
MIFFLIN,Republican,14614,4835,9400,379,33.08471329,64.32188313,
MONROE,Republican,46878,21939,23265,1674,46.80020479,49.62882376,
MONTGOMERY,Democratic,332422,177990,145623,8809,53.54338762,43.80666743,
MONTOUR,Republican,6492,2356,3960,176,36.29081947,60.99815157,
NORTHAMPTON,Democratic,104690,53097,47396,4197,50.7183112,45.27270991,
NORTHUMBERLAND,Republican,33251,13670,18142,1439,41.11154552,54.56076509,
PERRY,Republican,16071,4459,11184,428,27.74562877,69.5911891,
PHILADELPHIA,Democratic,561180,449182,100959,11039,80.04241063,17.99048434,
PIKE,Republican,17364,7330,9339,695,42.21377563,53.78369039,
POTTER,Republican,7090,2037,4858,195,28.73060649,68.5190409,
SCHUYLKILL,Republican,58300,26215,29841,2244,44.96569468,51.18524871,
SNYDER,Republican,12841,3536,8963,342,27.5367962,69.79985982,
SOMERSET,Republican,32985,12028,20218,739,36.46505988,61.29452782,
SULLIVAN,Republican,3105,1066,1928,111,34.33172303,62.09339775,
SUSQUEHANNA,Republican,17271,6481,10226,564,37.52533148,59.2090788,
TIOGA,Republican,14772,4617,9635,520,31.25507717,65.22474953,
UNION,Republican,13175,4209,8523,443,31.94686907,64.69070209,
VENANGO,Republican,20523,8196,11642,685,39.93568192,56.72659943,
WARREN,Republican,17541,7537,9290,714,42.96790377,52.96163275,
WASHINGTON,Democratic,84441,44961,37339,2141,53.24546133,44.21904051,
WAYNE,Republican,18914,6904,11201,809,36.50206196,59.22068309,
WESTMORELAND,Republican,156709,71792,80858,4059,45.81230178,51.59754705,
WYOMING,Republican,11693,4363,6922,408,37.31292226,59.19781066,
YORK,Republican,144244,51958,87652,4634,36.02090902,60.76647902,
