County,County Party Affiliation ,Votes Cast for President Total,Votes Cast for President Democratic,Votes Cast for President Republican,Votes Cast for President Other Candidate,Percent Voted Democrat,Percent Voted Republican,electionreturn.pa.gov
ADAMS,Republican,42228,13764,28247,217,32.59448707,66.89163588,
ALLEGHENY,Democratic,645469,368912,271925,4632,57.15410035,42.12828192,
ARMSTRONG,Republican,31097,12025,18925,147,38.66932502,60.85796057,
BEAVER,Democratic,82543,42146,39916,481,51.0594478,48.35782562,
BEDFORD,Republican,22679,6016,16606,57,26.5267428,73.22192337,
BERKS,Republican,164487,76309,87122,1056,46.39211609,52.96588788,
BLAIR,Republican,54178,18105,35751,322,33.41762339,65.98803943,
BRADFORD,Republican,25652,8590,16942,120,33.48666771,66.04553251,
BUCKS,Democratic,319816,163438,154469,1909,51.10375966,48.29933462,
BUTLER,Republican,85425,30090,54959,376,35.2238806,64.33596722,
CAMBRIA,Republican,66983,32591,34048,344,48.65562904,50.83080782,
CAMERON,Republican,2406,794,1599,13,33.00083126,66.45885287,
CARBON,Republican,25043,12223,12519,301,48.80805015,49.99001717,
CENTRE,Republican,64253,30733,33133,387,47.83122967,51.56646382,
CHESTER,Republican,230823,109708,120036,1079,47.52905906,52.00348319,
CLARION,Republican,17184,6049,11063,72,35.20135009,64.37965549,
CLEARFIELD,Republican,34233,13518,20533,182,39.48821313,59.98013613,
CLINTON,Republican,13967,5823,8035,109,41.69112909,57.52845994,
COLUMBIA,Republican,26869,10679,16052,138,39.74468719,59.74170978,
CRAWFORD,Republican,38322,16013,21965,344,41.78539742,57.31694588,
CUMBERLAND,Republican,106082,37928,67648,506,35.75347373,63.76953677,
DAUPHIN,Republican,121208,55299,65296,613,45.62322619,53.87103162,
DELAWARE,Democratic,284538,162601,120425,1512,57.14561851,42.32299377,
ELK,Republican,14550,6602,7872,76,45.37457045,54.10309278,
ERIE,Democratic,125898,67921,57372,605,53.94922874,45.57022351,
FAYETTE,Democratic,54707,29120,25045,542,53.22902005,45.7802475,
FOREST,Republican,2573,989,1571,13,38.43762145,61.05713175,
FRANKLIN,Republican,58569,16562,41817,190,28.27775786,71.39783845,
FULTON,Republican,6271,1475,4772,24,23.52096954,76.09631638,
GREENE,Republican,15565,7674,7786,105,49.30292323,50.02248635,
HUNTINGDON,Republican,18058,5879,12126,53,32.55620777,67.1502935,
INDIANA,Republican,36248,15831,20254,163,43.67413375,55.87618627,
JEFFERSON,Republican,19560,6073,13371,116,31.04805726,68.35889571,
JUNIATA,Republican,10006,2797,7144,65,27.95322806,71.3971617,
LACKAWANNA,Democratic,105819,59573,44766,1480,56.2970733,42.30431208,
LANCASTER,Republican,221278,74328,145591,1359,33.59032529,65.79551514,
LAWRENCE,Republican,43442,21387,21938,117,49.23115879,50.4995166,
LEBANON,Republican,55665,18109,37089,467,32.53211174,66.62894099,
LEHIGH,Democratic,145091,73940,70160,991,50.96112095,48.35585943,
LUZERNE,Democratic,136028,69573,64953,1502,51.14608757,47.749728,
LYCOMING,Republican,50049,15681,33961,407,31.33129533,67.85550161,
McKEAN,Republican,17426,6294,10941,191,36.1184437,62.78549294,
MERCER,Republican,51564,24831,26311,422,48.15569002,51.02590955,
MIFFLIN,Republican,16802,4889,11726,187,29.09772646,69.7893108,
MONROE,Republican,56342,27967,27971,404,49.63792553,49.64502503,
MONTGOMERY,Democratic,399591,222048,175741,1802,55.56881912,43.98021977,
MONTOUR,Republican,7624,2666,4903,55,34.96852046,64.31007345,
NORTHAMPTON,Democratic,126740,63446,62102,1192,50.05996528,48.99952659,
NORTHUMBERLAND,Republican,37134,14602,22262,270,39.32245382,59.95044972,
PERRY,Republican,19427,5423,13919,85,27.91475781,71.6477068,
PHILADELPHIA,Democratic,674069,542205,130099,1765,80.43761099,19.30054638,
PIKE,Republican,21299,8656,12444,199,40.64040565,58.42527818,
POTTER,Republican,7962,2268,5640,54,28.4853052,70.83647325,
SCHUYLKILL,Republican,65269,29231,35640,398,44.78542647,54.60478941,
SNYDER,Republican,14983,4348,10566,69,29.0195555,70.51992258,
SOMERSET,Republican,36778,12842,23802,134,34.91761379,64.71803796,
SULLIVAN,Republican,3285,1213,2056,16,36.92541857,62.58751903,
SUSQUEHANNA,Republican,19040,7351,11573,116,38.60819328,60.78256303,
TIOGA,Republican,17571,5437,12019,115,30.94303113,68.40248136,
UNION,Republican,16123,5700,10334,89,35.35322211,64.09477144,
VENANGO,Republican,23659,9024,14472,163,38.1419333,61.16911112,
WARREN,Republican,19273,8044,10999,230,41.73714523,57.06947543,
WASHINGTON,Democratic,96177,48225,47673,279,50.14192582,49.56798403,
WAYNE,Republican,21967,8060,13713,194,36.69140074,62.42545637,
WESTMORELAND,Republican,178696,77774,100087,835,43.5230783,56.00964767,
WYOMING,Republican,12832,4982,7782,68,38.82481297,60.64526185,
YORK,Republican,179269,63701,114270,1298,35.53375096,63.74219748,
