County,County Party Affiliation ,Votes Cast for President Total,Votes Cast for President Democratic,Votes Cast for President Republican,Votes Cast for President Other Candidate,Percent Voted Democrat,Percent Voted Republican
ADAMS,Republican,47489,14219,31423,1847,29.9416707,66.16900756
ALLEGHENY,Democratic,650114,367617,259480,23017,56.54654414,39.91299987
ARMSTRONG,Republican,31618,7178,23484,956,22.70225821,74.27414764
BEAVER,Republican,83571,32531,48167,2873,38.92618253,57.63602207
BEDFORD,Republican,23637,3645,19552,440,15.42073867,82.71777298
BERKS,Republican,183065,78437,96626,8002,42.84652992,52.78234507
BLAIR,Republican,54909,13958,39135,1816,25.42024076,71.27246899
BRADFORD,Republican,25708,6369,18141,1198,24.7743893,70.5655827
BUCKS,Democratic,344297,167060,164361,12876,48.5220609,47.73814468
BUTLER,Republican,97071,28584,64428,4059,29.44648762,66.37203696
CAMBRIA,Republican,63072,18867,42258,1947,29.91343227,66.99961948
CAMERON,Republican,2186,531,1589,66,24.29094236,72.68984446
CARBON,Republican,28776,8936,18743,1097,31.05365582,65.13413956
CENTRE,Democratic,76148,37088,35274,3786,48.70515312,46.32295004
CHESTER,Democratic,268800,141682,116114,11004,52.70907738,43.19717262
CLARION,Republican,17535,4273,12576,686,24.36840605,71.71941831
CLEARFIELD,Republican,34271,8200,24932,1139,23.92693531,72.74955502
CLINTON,Republican,15394,4744,10022,628,30.81720151,65.10328699
COLUMBIA,Republican,28228,8934,18004,1290,31.6494261,63.78064333
CRAWFORD,Republican,37492,10971,24987,1534,29.26224261,66.64621786
CUMBERLAND,Republican,121617,47085,69076,5456,38.71580453,56.79798055
DAUPHIN,Democratic,130872,64706,60863,5303,49.44220307,46.50574607
DELAWARE,Republican,297634,177402,110667,9565,59.60407749,37.18224396
ELK,Republican,14426,3853,10025,548,26.70872037,69.49258284
ERIE,Republican,123679,58112,60069,5498,46.98614963,48.56847161
FAYETTE,Republican,53767,17946,34590,1231,33.37735042,64.33314115
FOREST,Republican,2401,626,1683,92,26.0724698,70.09579342
FRANKLIN,Republican,69731,17465,49768,2498,25.04624916,71.371413
FULTON,Republican,6771,912,5694,165,13.46920691,84.09393
GREENE,Republican,15764,4482,10849,433,28.43187008,68.82136514
HUNTINGDON,Republican,19706,4539,14494,673,23.03359383,73.55120268
INDIANA,Republican,37770,11528,24888,1354,30.52157797,65.89356632
JEFFERSON,Republican,19478,3650,15192,636,18.73909026,77.99568744
JUNIATA,Republican,10454,1821,8273,360,17.4191697,79.13717237
LACKAWANNA,Democratic,103456,51983,48384,3089,50.2464816,46.76770801
LANCASTER,Republican,241112,91093,137914,12105,37.78036763,57.19914397
LAWRENCE,Republican,40753,14009,25428,1316,34.37538341,62.39540647
LEBANON,Republican,61845,18953,40525,2367,30.64596976,65.52672003
LEHIGH,Democratic,160993,81324,73690,5979,50.5139975,45.77217643
LUZERNE,Republican,134983,52451,78688,3844,38.85748576,58.29474823
LYCOMING,Republican,50565,13020,35627,1918,25.74903589,70.45782656
McKEAN,Republican,16296,4025,11635,636,24.69931271,71.39788905
MERCER,Republican,52309,18733,31544,2032,35.81219293,60.3031983
MIFFLIN,Republican,18601,3877,14094,630,20.84296543,75.77011989
MONROE,Democratic,69752,33918,33386,2448,48.62656268,47.86386053
MONTGOMERY,Democratic,434687,256082,162731,15874,58.91181471,37.43636226
MONTOUR,Republican,8556,2857,5288,411,33.39177186,61.80458158
NORTHAMPTON,Republican,143519,66272,71736,5511,46.17646444,49.98362586
NORTHUMBERLAND,Republican,36622,9788,25427,1407,26.72710393,69.43094315
PERRY,Republican,21158,4632,15616,910,21.8924284,73.80659798
PHILADELPHIA,Democratic,707631,584025,108748,14858,82.53242156,15.36789654
PIKE,Republican,26101,9256,16056,789,35.46224283,61.51488449
POTTER,Republican,7784,1302,6251,231,16.72661871,80.3057554
SCHUYLKILL,Republican,62869,16770,44001,2098,26.67451367,69.98838855
SNYDER,Republican,16363,4002,11725,636,24.4576178,71.65556438
SOMERSET,Republican,35773,7376,27379,1018,20.61890252,76.53537584
SULLIVAN,Republican,3136,750,2291,95,23.91581633,73.05484694
SUSQUEHANNA,Republican,18863,5123,12891,849,27.1589885,68.34013678
TIOGA,Republican,18325,3901,13614,810,21.28785812,74.29195089
UNION,Republican,17468,6180,10622,666,35.3789787,60.80833524
VENANGO,Republican,23348,6309,16021,1018,27.02158643,68.61829707
WARREN,Republican,18434,5145,12477,812,27.91038299,67.68471303
WASHINGTON,Republican,101450,36322,61386,3742,35.80285855,60.50862494
WAYNE,Republican,24018,7008,16244,766,29.17811641,67.63260888
WESTMORELAND,Republican,182051,59669,116522,5860,32.77598036,64.00514142
WYOMING,Republican,13144,3811,8837,496,28.99421789,67.2321972
YORK,Republican,205986,68524,128528,8934,33.26633849,62.39647355
