County	AMERICANINDIANANDNATIVEALASKAN	15-19YEARSOLD	COLLEGEDEGREE(PERCENT)	POPULATIONTOTAL	OTHERRACE	HISPANICORLATINOPOPULATION	HIGHSCHOOLGRADUATEONLY(PERCENT)	MEDIANHOUSEHOLDINCOME	PERSONSINPOVERTY	20-34YEARSOLD	ASIANANDPACIFICISLANDERPOPULATION	TOTALEMPLOYMENT	INCIVILIANLABORFORCE	35-59YEARSOLD	FEMALEPOPULATION	TOTALUNEMPLOYMENT	BLACKORAFRICANAMERICANPOPULATION	60-74YEARSOLD	75YEARSPLUS	WHITEPOPULATION	
NORTHAMPTON	2312.2369	6731.2235	15.9174	75473.0626	10404.5622	34139.5175	19.3866	62842.0856	-233513.3670	-5201.0650	12119.9454	27128.9161	34243.0936	43399.1087	37788.4435	7383.9026	24900.8638	12781.5938	11910.3965	42687.7601	-1.5336437800000056
NORTHAMPTON	2155.7175	5990.0434	14.3068	67791.2732	9183.4156	32086.2988	13.9134	58583.7471	-240888.2558	-940.9018	11629.4777	20299.7946	27167.9185	35767.6485	33866.1337	7164.4086	23809.0257	14094.8217	9731.0491	37271.7740	14.680882969999999
NORTHAMPTON	1849.0476	5212.3601	12.5255	59823.8402	7693.2076	29632.2042	6.3926	53720.7743	-248536.8308	3035.8480	11041.0708	13036.8212	19652.0593	27271.6124	29798.7106	6936.8070	22466.4121	15365.6968	7198.3624	31697.9216	10.725148019999999
NORTHAMPTON	1250.4995	4400.7435	10.5656	51604.6340	5883.6695	26713.6623	-3.8939	48195.7973	-256426.5386	6726.9782	10338.6979	5353.5014	11710.5406	17862.1911	25603.5170	6702.0693	20823.5764	16588.7306	4270.0100	25992.6065	4.710915949999993
NORTHAMPTON	89.9260	3557.8525	8.4199	43166.8989	3697.9351	23260.8551	-17.8846	41950.6778	-264525.4367	10137.2108	9504.6606	-2734.5037	3360.5157	7493.6268	21297.5626	6461.1478	18824.0022	17760.1992	901.5779	20180.9954	0.9840992699999944
NORTHAMPTON	-2182.8962	2674.0436	6.0483	34421.3287	1032.2675	19136.5097	-37.0982	34823.4186	-272919.2092	13318.3043	8504.7068	-11330.5929	-5503.6717	-4042.0705	16835.3212	6211.4963	16366.6868	18893.0933	-3010.4816	14204.0466	6.916853279999998
NORTHAMPTON	-6618.9160	1751.6707	3.4389	25399.3961	-2204.6142	14231.6155	-63.3772	26725.9140	-281577.6079	16270.9243	7311.0761	-20424.1831	-14869.8810	-16817.9384	12232.9067	5954.0173	13359.8907	19983.3402	-7533.6975	8086.1278	2.983205159999997
PERRY	346.3284	356.2177	11.7368	6759.1990	289.8383	732.9952	36.0238	45721.0893	-39049.1101	-2499.4579	416.3143	645.6272	1399.6555	5152.9900	3038.7403	848.0085	642.6682	3738.6038	1286.5774	6007.2351	5.626593190000008
PERRY	322.6152	329.3959	10.8779	5815.5429	268.9905	698.1017	29.1484	41514.8433	-39932.5706	-1789.3423	401.8128	368.2236	1083.1553	3942.7422	2535.4674	822.9918	601.2601	3671.1917	1080.2409	5123.2618	22.45277792000001
PERRY	285.5365	302.1873	9.9278	4844.7156	235.7689	656.2875	15.4266	36651.2978	-40840.3937	-1127.4884	383.9311	85.8020	760.5744	2609.1963	2016.9752	797.2620	538.6299	3602.4121	847.0395	4215.0265	17.616449860000003
PERRY	227.8116	274.7364	8.8825	3851.3342	183.0569	606.4308	-11.8546	31056.3963	-41768.2051	-514.1186	361.9899	-200.1658	433.5818	1147.4647	1485.6894	770.9420	444.3205	3532.6182	584.8339	3286.9111	4.2154088800000125
PERRY	138.4758	247.1743	7.7380	2839.7940	99.9193	547.2947	-65.7360	24653.1529	-42711.8585	51.7008	335.2103	-488.3303	103.7137	-446.7527	943.9306	744.1485	303.1355	3462.1364	291.5115	2343.0676	2.158891180000012
PERRY	-1.1360	219.2338	6.4729	1799.8345	-32.4920	476.4744	-173.2195	17254.0297	-43680.8756	578.6893	302.2090	-781.5073	-232.2624	-2202.2341	386.1675	716.6100	89.7101	3390.2739	-39.7869	1373.9777	8.01659395
PERRY	-218.4868	191.0445	5.0809	735.7149	-242.5855	392.0325	-386.9149	8742.2629	-44671.2284	1067.0732	261.7160	-1078.3656	-572.8335	-4126.4593	-185.3584	688.4397	-231.6685	3317.3516	-412.2899	383.6757	5.21605009000001
WARREN	169.7840	-503.6917	11.5513	-4703.9123	50.8492	373.6617	36.7130	39509.4191	-30889.2082	-3811.6525	238.6567	-2445.6333	-2259.0413	1009.1897	-3081.7882	235.8450	310.4022	1286.7838	1020.5300	-4970.5798	11.473396989999998
WARREN	137.6354	-499.7027	10.3239	-4225.5526	36.1064	361.2782	29.5527	36145.3705	-30528.6583	-2730.2101	217.1449	-2425.6569	-2216.2507	241.5583	-2779.5246	257.6606	289.7607	1435.9324	864.7668	-4451.3614	31.947168259999998
WARREN	89.0709	-495.6973	8.9420	-3749.6650	12.7123	347.4435	16.3844	32310.3587	-30169.1195	-1766.3546	191.0246	-2405.5903	-2173.3094	-573.5900	-2479.5677	279.2048	259.7871	1582.4413	699.9168	-3935.3333	26.341770509999996
WARREN	16.0334	-491.6972	7.3943	-3278.8394	-24.2495	332.0680	-7.7367	27960.8902	-29812.5575	-912.2860	159.4659	-2385.5431	-2130.4526	-1434.5910	-2183.5383	300.3637	216.4594	1725.5610	526.3798	-3425.2965	14.723080279999998
WARREN	-93.1702	-487.7216	5.6696	-2815.2389	-82.3000	315.0659	-51.6393	23053.0638	-29460.6326	-158.9068	121.5368	-2365.6113	-2087.8846	-2339.5530	-1892.7738	321.0456	154.1858	1864.7087	344.5945	-2923.5797	10.6152376
